objectid,filename,title,creator,date,date_display,associated_names,subject,location,latitude,longitude,source,identifier,type,format,rights,rightsstatement
038731,038731.jpg,Macbeth at the Lyceum [graphic] / John Jellicoe and Herbert Railton.,"Jellicoe, John, artist.",1889,1889,"Railton, Herbert, 1857-1910, artist.;Swain, Joseph, 1820-1909, printmaker.",Ellen Terry,London,51.507351,-0.127758,Folger Shakespeare Library,ART Box J48 no.19.5,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
020826,020826.jpg,"[Miss Viola Allen as Lady Macbeth] [graphic] / White, N.Y.","White Studio (New York, N.Y.), photographer.",,late 19th or early 20th century?,,Viola Allen,New York,40.712776,-74.005974,Folger Shakespeare Library,ART File A431 no.9 part 3 PHOTO,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
020828,020828.jpg,"[Miss Viola Allen as Lady Macbeth] [graphic] / White, N.Y.","White Studio (New York, N.Y.), photographer.",,late 19th or early 20th century?,,Viola Allen,New York,40.712776,-74.005974,Folger Shakespeare Library,ART File A431 no.9 part 5 PHOTO,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
013080,013080.jpg,"Miss Bateman as ""Lady Macbeth"" [graphic].","Faustin, b. 1847, printmaker.",1875,"Oct. 30, 1875","Wilcox, Alfred, 19th cent., publisher.;George, Ben., publisher, printer of plates.",Kate Josephine Bateman,London,51.507351,-0.127758,Folger Shakespeare Library,ART File B328.5 no.2,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
021041,021041.jpg,Bernhardt as Lady Macbeth [graphic] / P. Nadar.,"Nadar, Paul, 1856-1939, photographer.",,late 19th century?,,Sarah Bernhardt,Paris,48.856613,2.352222,Folger Shakespeare Library,ART File B527 no.5 PHOTO,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
003035,003035.jpg,Mrs. D.P. Bowers as Lady Macbeth [graphic].,,1887,circa 1887,"Gebbie and Company, publisher.",Mrs. D. P. Bowers,Philadephia,39.952583,-75.165222,Folger Shakespeare Library,ART File B786 no.2,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
021541,021541.jpg,Miss Charlotte Cushman as Lady Macbeth [graphic] : [in Shakespeare's Macbeth].,,1855,1855,"Martin and Johnson, publisher.",Charlotte Cushman,New York,40.712776,-74.005974,Folger Shakespeare Library,ART File C986 no.9 copy 1,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
021974,021974.jpg,"Miss Glyn as Lady Macbeth ... [in Shakespeare's] Macbeth, act 1, scene 5 [graphic] / from a daguerreotype by Paine of Islington.",,,mid-19th century?,"John Tallis & Company, publisher.;Paine of Islington, photographer.",Isabella Glyn,London,51.507351,-0.127758,Folger Shakespeare Library,ART File G568 no.7,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
023923,023923.jpg,"Mrs. Langtry as ""Lady Macbeth"" [in Shakespeare's Macbeth] [graphic] / Falk.","Falk, B. J. (Benjamin J.), 1853-1925, photographer.",1889,1889,,Lillie Langtry,New York,40.712776,-74.005974,Folger Shakespeare Library,ART File L286.3 no.3 PHOTO,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
028713,028713.jpg,[Julia Marlowe as Lady Macbeth in Shakespeare's Macbeth] [graphic] / Arnold Genthe.,"Genthe, Arnold, 1869-1942, photographer.",,late 19th or early 20th century?,,Julia Marlowe,San Francisco,37.774929,-122.419418,Folger Shakespeare Library,ART File M349.5 no.100 PHOTO,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
024106,024106.jpg,"Modjeska [as Lady Macbeth in Shakespeare's Macbeth] [graphic] / Rosch, photo ; N.Y. Photogravure Co.","New York Photo-Gravure Company, printmaker.",,19th or early 20th century,"Rosch, photographer.",Helena Modjeska,New York,40.712776,-74.005974,Folger Shakespeare Library,ART File M692.4 no.8 PHOTO,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
024124,024124.jpg,Leona Moss as Lady Macbeth [in Shakespeare's Macbeth] [graphic] / Golder & Robinson.,"Golder & Robinson, photographer.",,19th century,,Leona Hyneman,New York,40.712776,-74.005974,Folger Shakespeare Library,ART File M913.3 no.1 PHOTO,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
030655,030655.jpg,"Macbeth, act V, scene I, as perform'd by Mrs. Pritchard at Drury Lane Theatre [graphic].",,1768,1768,,Hannah Pritchard,London,51.507351,-0.127758,Folger Shakespeare Library,ART File P961.3 no.2,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
029149,029149.jpg,"Le Théatre illustré-- Odéon-- Macbeth, tragédie en vers de Jules Lacroix, tirée de Shakspeare... Macbeth (M. Paul Mounet) Lady Macbeth (Mlle. Aimée Tessandier), [act II, scene 2] [graphic] / Adrien Marie ; SGAP, sc.","S. G. A. P., active late 19th cent., printmaker.",1884,1884?,"Marie, Adrien-Emmanuel, 1848-1891, artist.",Aimée Tessandier,France,48.856613,2.352222,Folger Shakespeare Library,ART File S528m1 no.100,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
009229,009229.jpg,"Macbeth, act I, scene V, Macbeth's castle -- Lady Macbeth [graphic] / painted by R. Westall ; engraved by James Parker.","Parker, James, 1750-1805, printmaker.",1800,"June 4, 1800","Shakspeare Gallery.;John and Josiah Boydell (Firm), publisher.;Westall, Richard, 1765-1836, artist.",Sarah Siddons,London,51.507351,-0.127758,Folger Shakespeare Library,ART File S528m1 no.113 copy 2,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
026582,026582.jpg,"Zu bett! zu bett! --- Macbeth 5, Aufz 1ter Auftr, Lady Macbeth durch Madam Nouseul vorgestellt [graphic] / D. Chodowiecki, del et sc.","Chodowiecki, Daniel, 1726-1801, printmaker.",1778,1778,"Chodowiecki, Daniel, 1726-1801, artist.",Marie Rosalie Nouseul,Germany,51.1657,10.4515,Folger Shakespeare Library,ART File S528m1 no.66 copy 1,Image;StillImage,image/jpeg,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/
